Nome;1_1;1_3;1_4;1_6;1_8;1_13;1_15;1_20;1_22;1_26;1_1p10;2_1p25;2_1p26;2_1p35;2_1p41;1_1p5;1_1p7;1_1p9;1_2p2;2_2p25;2_2p28;1_2p5;1_2p7;1_2p8;1_3p1;2_3p16;1_3p3;1_3p6;2_3p60;2_3p69;1_4p3;1_4p4;2_HEX9p28
B02;0.021441075;0.016115716;0.019507883;0.021569985;0.015192915;0.025185067;0.017792474;0.033932554;0.028269539;0.033060162;0.015576823;0.01043281;0.014358262;0.00736425;0.010314904;0.020399456;0.019498096;0.016203151;0.028200737;0.01686355;0.00989389;0.019219944;0.020330111;0.01774614;0.019481154;0.011661487;0.023926859;0.016807685;0.015984765;0.01631883;0.019436568;0.02190037;0.009929727
B3;0.045223243;0.041628405;0.045714904;0.04662253;0.04062689;0.050306933;0.040341461;0.060468068;0.054279342;0.055155078;0.041305207;0.036827547;0.040956333;0.032322267;0.03383503;0.043543978;0.042966974;0.03825267;0.054330518;0.044883077;0.037310108;0.041284403;0.041030987;0.039969543;0.043853547;0.036585398;0.049052192;0.041365081;0.043447224;0.046537413;0.042675223;0.04707721;0.039582051
B4;0.023478143;0.020764984;0.023102929;0.024586343;0.020254352;0.026557834;0.021826945;0.037991495;0.031959471;0.036045172;0.021438125;0.018200153;0.01893607;0.017004582;0.016650836;0.023744141;0.020842192;0.021836723;0.026891697;0.022255489;0.019479478;0.022110839;0.022365258;0.023342792;0.022262214;0.017304962;0.026954946;0.021429289;0.022172939;0.0228804;0.025141768;0.024891477;0.018434257
B5;0.078170718;0.080627219;0.084666903;0.083367321;0.079001581;0.09043953;0.079743898;0.106806219;0.091064484;0.094325258;0.08310152;0.079319585;0.077598359;0.07173765;0.063821565;0.079188642;0.079057384;0.074182971;0.093975633;0.081988198;0.081786434;0.074584534;0.076817426;0.077343449;0.081530921;0.074716464;0.090164948;0.079986291;0.083581086;0.092577879;0.078863641;0.086852233;0.085878299
B6;0.280654079;0.287841511;0.312068868;0.307223594;0.302530989;0.325035959;0.30351682;0.337028481;0.300910066;0.325806838;0.297176192;0.287557103;0.285747856;0.277694011;0.267583095;0.270117467;0.288096672;0.240061313;0.363998823;0.337460834;0.271738219;0.272661984;0.285064107;0.271995962;0.321247;0.288718;0.320075274;0.298075117;0.313597605;0.318183839;0.268742494;0.326399642;0.307314058
B7;0.345539093;0.361705202;0.391278356;0.379271895;0.379159793;0.408431131;0.389735959;0.417167351;0.36339587;0.413440633;0.366970027;0.373743698;0.359282744;0.351948893;0.344115168;0.344946682;0.361091667;0.297848761;0.468436189;0.425113791;0.333635819;0.344414671;0.35892188;0.340750414;0.402686638;0.367182672;0.404234773;0.376274779;0.389950022;0.393116349;0.329692148;0.414358824;0.378765816
B8A;0.376661366;0.389402568;0.414045519;0.409996992;0.410875052;0.437915426;0.416546807;0.45508536;0.397279491;0.442862165;0.397245968;0.396114796;0.387074751;0.383105147;0.373506963;0.377048795;0.391671276;0.321776325;0.503613003;0.455219036;0.359973413;0.372861554;0.388743573;0.37016409;0.430767536;0.397441342;0.431000894;0.403519049;0.426219448;0.418172199;0.355960488;0.446582872;0.409465889
B11;0.185795227;0.188665614;0.19903459;0.203356558;0.192034225;0.206697053;0.188353874;0.226636913;0.222949438;0.232327309;0.192727372;0.1790336;0.166154766;0.189079347;0.169482132;0.18053062;0.188248333;0.176250207;0.209322903;0.202445602;0.181473082;0.187422511;0.184948131;0.192668378;0.197980434;0.184489693;0.207796967;0.189087667;0.191464636;0.187643269;0.191744979;0.207347155;0.179955944
B12;0.077945979;0.080181192;0.081975093;0.084988238;0.077770277;0.088158391;0.077875871;0.104443591;0.103207802;0.109463541;0.0792473;0.074665584;0.071691318;0.08036114;0.070195235;0.075194118;0.077620164;0.072786552;0.087259755;0.08429811;0.076527518;0.079364549;0.076999024;0.081070645;0.081583802;0.075312026;0.09021032;0.080528909;0.080437502;0.077735126;0.083997518;0.084672031;0.074068042
